repo,created_at,label,title,body
facebook/react,2023-08-26 06:33:37,bug,"[DevTools Bug] Cannot add node ""1"" because a node with that id is already in the Store.","### Website or app

Private repo cannot give access to application

### Repro steps

1. Run application

### How often does this bug happen?

Every time

### DevTools package (automated)

react-devtools-extensions

### DevTools version (automated)

4.28.0-035a41c4e

### Error message (automated)

Cannot add node ""1"" because a node with that id is already in the Store.

### Error call stack (automated)

```text
at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:28171:41
    at Bridge.emit (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:24827:22)
    at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:24996:14
    at listener (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:57406:39)
```


### Error component stack (automated)

_No response_

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot add node because a node with that id is already in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```
"
facebook/react,2023-07-28 05:16:12,bug,[DevTools Bug]: Devtools extension build failing in windows and ubuntu ,"### Website or app

N/A

### Repro steps

Been working on react devtools extension for a while now, my mac got some issue so i switched to a windows machine but currently i am unable to build the react devtool extension and run it locally here is the napshot of the error
![Windows PowerShell 7_28_2023 10_43_05 AM](https://github.com/facebook/react/assets/72331432/b6487d72-4c4f-46e2-b04e-0469de33e50b)



### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

_No response_

### Error component stack (automated)

_No response_

### GitHub query string (automated)

_No response_"
facebook/react,2023-07-13 21:58:31,bug,[DevTools Bug]: Deprecated __REACT_DEVTOOLS_GLOBAL_HOOK__ ????,"### Website or app

https://github.com/open-source-labs/reactime/tree/master/src

### Repro steps

Hi, I have heard that the new versions of React will not support the REACT_DEVTOOLS_GLOBAL_HOOK. If there any information about this update that you can share. Is there a new way to achieve the same result of using the REACT_DEVTOOLS_GLOBAL_HOOK but with a different method? What is the future of React without the REACT_DEVTOOLS_GLOBAL_HOOK?

Reactime and React Inspector in the Chrome store use this hook

### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

_No response_

### Error component stack (automated)

_No response_

### GitHub query string (automated)

_No response_"
facebook/react,2023-06-14 02:31:20,bug,"[DevTools Bug] Cannot remove node ""0"" because no matching node was found in the Store.","### Website or app

local

### Repro steps

open react-devtools

### How often does this bug happen?

Every time

### DevTools package (automated)

react-devtools-core

### DevTools version (automated)

4.27.8-2468a8735

### Error message (automated)

Cannot remove node ""0"" because no matching node was found in the Store.

### Error call stack (automated)

```text
at /Users/wangx/.config/yarn/global/node_modules/react-devtools-core/dist/standalone.js:39:338605
    at f.emit (/Users/wangx/.config/yarn/global/node_modules/react-devtools-core/dist/standalone.js:39:283790)
    at /Users/wangx/.config/yarn/global/node_modules/react-devtools-core/dist/standalone.js:39:285331
    at /Users/wangx/.config/yarn/global/node_modules/react-devtools-core/dist/standalone.js:39:677861
    at Array.forEach (<anonymous>)
    at Lh.e.onmessage (/Users/wangx/.config/yarn/global/node_modules/react-devtools-core/dist/standalone.js:39:677845)
    at A.t (/Users/wangx/.config/yarn/global/node_modules/react-devtools-core/dist/standalone.js:39:2836)
    at A.emit (node:events:513:28)
    at e.exports.F (/Users/wangx/.config/yarn/global/node_modules/react-devtools-core/dist/standalone.js:3:38972)
    at e.exports.emit (node:events:513:28)
```


### Error component stack (automated)

_No response_

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot remove node  because no matching node was found in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```
"
facebook/react,2023-06-03 11:29:44,bug,"[DevTools Bug] Cannot remove node ""103"" because no matching node was found in the Store.","### Website or app

localhost

### Repro steps

-

### How often does this bug happen?

Every time

### DevTools package (automated)

react-devtools-extensions

### DevTools version (automated)

4.27.8-2468a8735

### Error message (automated)

Cannot remove node ""103"" because no matching node was found in the Store.

### Error call stack (automated)

```text
emit@moz-extension://a02c2c83-f439-4a45-972b-928bb0916901/build/main.js:27059:22
bridge_Bridge/this._wallUnlisten<@moz-extension://a02c2c83-f439-4a45-972b-928bb0916901/build/main.js:27228:14
listener@moz-extension://a02c2c83-f439-4a45-972b-928bb0916901/build/main.js:57497:41
```


### Error component stack (automated)

_No response_

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot remove node  because no matching node was found in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```
"
facebook/react,2023-05-26 12:03:19,bug,"[DevTools Bug]: App not recognized in Firefox, but works in Chrome","### Website or app

-

### Repro steps

On both Firefox 103 and 104 the react devtools extension says: ""This page doesn't appear to be using React"".

On the most recent version of Chrome it's working just fine.

I cannot share the project since it's a private project unfortunately, but I suspect this is a regression introduced with the recent https://github.com/facebook/react/pull/26765

Especially since the devtools were working perfectly fine until maybe one or two weeks ago.

It _does_ work in incognito mode in Firefox.

### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

_No response_

### Error component stack (automated)

_No response_

### GitHub query string (automated)

_No response_"
facebook/react,2023-05-09 15:33:15,bug,[DevTools Bug]: Using different React instances across multiple frames throws errors,"### Website or app

https://codepen.io/mesoptier/pen/qBJopod

### Repro steps

1. Visit the codepen linked above.
2. Be sure to open the Debug View, so codepen doesn't add any additional iframes ([more info](https://blog.codepen.io/documentation/debug-view/)).
3. Observe:
   - Warning in the Console tab: `Invalid renderer id ""1""`.
   - Error in the Components tab: `Uncaught Error: Cannot add node ""3"" because a node with that id is already in the Store`.
   - After dismissing the error, all components seem to be accounted for (you might need to adjust the ""Hide components where..."" option).

In my actual application the error pops up for every change in the tree, making the devtools virtually unusable.

Note: This only seems to happen if the iframe is added some time after the initial React tree was mounted in the parent window. When I remove the `setTimeout` so the iframe is added synchronously, I no longer see any warnings.

Related issues:
- https://github.com/facebook/react/issues/26787
- https://github.com/facebook/react/issues/26793

### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version ~(automated)~ (manual)

4.27.7 (5/7/2023) in Google Chrome Version 112.0.5615.165 (Official Build) (64-bit)

### Error message ~(automated)~ (manual)

Cannot add node ""3"" because a node with that id is already in the Store.

### Error call stack ~(automated)~ (manual)

```
at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:29031:41
    at bridge_Bridge.emit (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:27054:22)
    at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:27223:14
    at listener (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:57493:39)
```

### Error component stack (automated)

_No response_

### GitHub query string (automated)

_No response_"
facebook/react,2023-05-08 06:59:51,bug,"[DevTools Bug] Cannot remove node ""226752"" because no matching node was found in the Store.","### Website or app

https://travel.testsigma.com/

### Repro steps

https://travel.testsigma.com/

### How often does this bug happen?

Every time

### DevTools package (automated)

react-devtools-extensions

### DevTools version (automated)

4.27.6-7f8c501f6

### Error message (automated)

Cannot remove node ""226752"" because no matching node was found in the Store.

### Error call stack (automated)

```text
at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:28710:43
    at bridge_Bridge.emit (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:26606:22)
    at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:26775:14
    at listener (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:57029:39)
```


### Error component stack (automated)

_No response_

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot remove node  because no matching node was found in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```
"
facebook/react,2023-05-02 13:23:54,bug,"[DevTools Bug] Cannot remove node ""197"" because no matching node was found in the Store.","### Website or app

http://localhost:3000/

### Repro steps

1. accessing react dev from a local app''


### How often does this bug happen?

Sometimes

### DevTools package (automated)

react-devtools-extensions

### DevTools version (automated)

4.27.6-7f8c501f6

### Error message (automated)

Cannot remove node ""197"" because no matching node was found in the Store.

### Error call stack (automated)

```text
at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:28710:43
    at bridge_Bridge.emit (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:26606:22)
    at chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:26775:14
    at listener (chrome-extension://fmkadmapgofadopljbjfkapdkoienihi/build/main.js:57029:39)
```


### Error component stack (automated)

_No response_

### GitHub query string (automated)

```text
https://api.github.com/search/issues?q=Cannot remove node  because no matching node was found in the Store. in:title is:issue is:open is:public label:""Component: Developer Tools"" repo:facebook/react
```
"
facebook/react,2023-04-25 04:16:47,bug,[DevTools Bug]: Unable to build the extension locally,"### Website or app

N/A

### Repro steps

I am trying to build the chrome extension for react dev tools locally to test changes as i am looking forward to fix this issue https://github.com/facebook/react/issues/26200, but there seem to be some error with the packages! looking forward to get some help
![Windows PowerShell 4_25_2023 9_44_03 AM](https://user-images.githubusercontent.com/72331432/234173125-657274ae-9d5b-41b6-bf34-ed148625f73f.png)


### How often does this bug happen?

Every time

### DevTools package (automated)

_No response_

### DevTools version (automated)

_No response_

### Error message (automated)

_No response_

### Error call stack (automated)

_No response_

### Error component stack (automated)

_No response_

### GitHub query string (automated)

_No response_"
